origin,destination,fare,f
Medawachchiya,Godakawela,1810.0,"[:Fare {fare: 1810.0, route_id: route_db78ea66_11_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Ambilipitiya,2000.0,"[:Fare {fare: 2000.0, route_id: route_db78ea66_10_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Thelwatta,1150.0,"[:Fare {fare: 1150.0, route_id: route_db78ea66_77_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Thelwatta,1150.0,"[:Fare {fare: 1150.0, route_id: route_cb15d6ac_30_1767932250, route_type: Katunayake Expressway, fare_type: AC}]"
Medawachchiya,Puttalam,635.0,"[:Fare {fare: 635.0, route_id: route_db78ea66_80_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Galigamuwa,490.0,"[:Fare {fare: 490.0, route_id: route_db78ea66_270_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Galigamuwa,1060.0,"[:Fare {fare: 1060.0, route_id: route_db78ea66_17_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Thabuththegama,390.0,"[:Fare {fare: 390.0, route_id: route_db78ea66_271_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Nittabuwa,1160.0,"[:Fare {fare: 1160.0, route_id: route_db78ea66_264_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Nittabuwa,1285.0,"[:Fare {fare: 1285.0, route_id: route_db78ea66_261_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Maradankadawala,365.0,"[:Fare {fare: 365.0, route_id: route_db78ea66_24_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Habarana,510.0,"[:Fare {fare: 510.0, route_id: route_db78ea66_81_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Minneriya,660.0,"[:Fare {fare: 660.0, route_id: route_db78ea66_80_1767932356, route_type: Normal Route, fare_type: AC}]"
Medawachchiya,Welikanda,910.0,"[:Fare {fare: 910.0, route_id: route_db78ea66_78_1767932356, route_type: Normal Route, fare_type: AC}]"
